timestamp,phase,elapsed_s,dataset_hash,memo_hit_ratio,pipeline_cache_hit_ratio,subbatch_avg_s,ui_total_load_ms,tab_name,portfolio_tab_render_s,streamlit_overhead_ms,skeleton_render_ms,ui_first_paint_ms,profile_block_total_ms,incremental_render,ui_partial_update_ms,ui_persist_ms,snapshot_batch_ms,snapshot_write_ms,ui_rerun_scope,reused_visual_cache,visual_cache_cleared,visual_cache_prewarm_ms,lazy_loaded_component,lazy_load_ms
2025-10-18T20:31:27.243670+00:00,portfolio.visual_cache,0.006806,prewarm,,,,,,,,,,,,,,,,,,,6.81,,
2025-10-18T20:31:56.155743+00:00,quotes_refresh,8.427389,,,,0.324130,,,,,,,,,,,,,,,,,,
2025-10-18T20:31:57.645639+00:00,portfolio_view.apply_basic,0.966478,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.000,0.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:31:57.895073+00:00,portfolio_view.apply_extended,0.197500,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.500,1.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:32:20.885522+00:00,ui.rerun_scope,,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,,,,,,,table,
2025-10-18T20:32:20.940838+00:00,ui.rerun_scope,,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,,,,,,,charts,
2025-10-18T20:32:21.029468+00:00,portfolio.tab_render,16.703275,,,,,,portafolio,16.703275,0.00,,,16709.11,,,,,,,,,,,
2025-10-18T20:32:31.882940+00:00,snapshot.persist_async,4.955618,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,5005.14949997887,4955.6180000072345,,,,,,
2025-10-18T20:32:32.399943+00:00,startup.render_portfolio_complete,75.832000,,,,,75832.00,,,,7761.2,7761.2,,,,,,,,,,,,
2025-10-18T20:33:43.647530+00:00,portfolio_view.apply_basic,0.759900,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.000,0.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:33:43.918706+00:00,portfolio_view.apply_extended,0.228717,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.500,1.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:33:49.901728+00:00,ui.rerun_scope,,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,,,,,,,table,
2025-10-18T20:33:53.386650+00:00,portfolio.lazy_component,3.449993,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,,,,,,,table,
2025-10-18T20:33:53.429470+00:00,ui.rerun_scope,,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,,,,,,,charts,
2025-10-18T20:33:53.508642+00:00,portfolio.tab_render,3.663566,,,,,,portafolio,3.663566,0.00,,,3670.45,,,,,,,,,,,
2025-10-18T20:33:58.314655+00:00,portfolio_view.apply_basic,0.784285,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.000,0.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:33:58.520924+00:00,portfolio_view.apply_extended,0.173195,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.500,1.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:34:04.008055+00:00,snapshot.persist_async,2.694459,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,5014.333400002215,2694.459200021811,,,,,,
2025-10-18T20:34:07.971304+00:00,ui.rerun_scope,,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,,,,,,,table,
2025-10-18T20:34:08.056715+00:00,quotes_refresh,24.413056,,,,0.938964,,,,,,,,,,,,,,,,,,
2025-10-18T20:34:08.070982+00:00,ui.rerun_scope,,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,,,,,,,charts,
2025-10-18T20:34:08.144754+00:00,portfolio.tab_render,0.259310,,,,,,portafolio,0.259310,0.00,,,263.59,,,,,,,,,,,
2025-10-18T20:34:18.435073+00:00,snapshot.persist_async,4.524356,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,,,,,,,,,,,,,,5007.609399995999,4524.356400012039,,,,,,
2025-10-18T20:34:37.387692+00:00,portfolio_view.apply_basic,0.742807,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.000,0.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:34:37.599201+00:00,portfolio_view.apply_extended,0.178146,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.500,1.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:34:46.387446+00:00,portfolio_view.apply_basic,0.816326,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.000,0.000,,,,,,,,,,,,,,,,,,,
2025-10-18T20:34:46.596716+00:00,portfolio_view.apply_extended,0.177890,6d08709bc5ff3a2c42509bc9eb77aa143dc7966d,0.500,1.000,,,,,,,,,,,,,,,,,,,
